time,temperature,solar_radiation
1123,2.0,0.0
1124,0.6,0.0
1125,0.3,0.0
1126,0.2,0.0
1127,-0.3,0.0
1128,-0.6,0.0
1129,-0.8,0.0
1130,-1.3,0.0
1131,-1.6,0.0
1132,-2.1,0.0
1133,-2.6,0.0
1134,-2.9,0.0
1135,-3.5,2.5
1136,-3.1,96.0
1137,-1.7,353.3
1138,-0.0,494.2
1139,1.5,568.6
1140,3.5,589.2
1141,4.9,549.2
1142,5.6,450.3
1143,5.8,306.7
1144,5.3,145.0
1145,3.3,17.5
1146,1.8,0.0
1147,0.9,0.0
1148,0.8,0.0
1149,0.7,0.0
1150,0.3,0.0
1151,-0.0,0.0
1152,-0.5,0.0
1153,-0.5,0.0
1154,-0.9,0.0
1155,-1.0,0.0
1156,-1.4,0.0
1157,-1.8,0.0
1158,-1.9,0.0
1159,-2.1,3.3
1160,-1.9,102.8
1161,-0.4,346.4
1162,1.1,489.3
1163,2.7,573.1
1164,4.5,590.5
1165,6.1,553.4
1166,7.0,455.6
1167,7.6,306.3
1168,7.4,153.9
1169,5.1,21.8
1170,2.6,0.0
1171,0.8,0.0
1172,0.3,0.0
1173,-0.0,0.0
1174,-0.1,0.0
1175,-0.4,0.0
1176,-0.5,0.0
1177,-1.6,0.0
1178,-1.9,0.0
1179,-2.1,0.0
1180,-2.4,0.0
1181,-2.7,0.0
1182,-3.4,0.0
1183,-3.6,4.1
1184,-3.0,113.5
1185,-1.5,364.0
1186,-0.1,492.2
1187,1.7,576.0
1188,3.8,603.8
1189,5.3,558.5
1190,6.6,459.0
1191,6.8,316.4
1192,6.6,155.3
1193,5.5,33.0
1194,3.9,0.4
1195,3.2,0.0
1196,2.9,0.0
1197,2.5,0.0
1198,2.2,0.0
1199,2.1,0.0
1200,1.9,0.0
1201,1.9,0.0
1202,1.8,0.0
1203,1.6,0.0
1204,1.4,0.0
1205,1.4,0.0
1206,1.4,0.0
1207,1.5,4.5
1208,1.6,72.8
1209,2.3,202.1
1210,4.1,497.6
1211,5.6,577.6
1212,6.4,604.2
1213,6.6,392.0
1214,7.2,313.9
1215,7.9,302.6
1216,6.6,129.4
1217,5.3,27.8
1218,4.2,0.1
1219,3.5,0.0
1220,2.8,0.0
1221,2.2,0.0
1222,2.1,0.0
1223,2.3,0.0
1224,1.9,0.0
1225,1.4,0.0
1226,1.1,0.0
1227,0.8,0.0
1228,0.4,0.0
1229,0.2,0.0
1230,0.0,0.0
1231,-0.1,2.2
1232,-0.1,73.6
1233,0.8,287.4
1234,2.0,456.8
1235,3.1,638.9
1236,3.8,613.8
1237,3.9,547.6
1238,3.2,441.5
1239,2.0,261.6
1240,0.6,57.4
1241,0.0,24.2
1242,-0.7,0.2
1243,-1.0,0.0
1244,-1.2,0.0
1245,-1.5,0.0
1246,-1.6,0.0
1247,-1.8,0.0
1248,-1.8,0.0
1249,-2.0,0.0
1250,-2.1,0.0
1251,-2.2,0.0
1252,-2.3,0.0
1253,-2.2,0.0
1254,-2.3,0.0
1255,-2.3,5.1
1256,-1.9,92.9
1257,-0.6,360.5
1258,0.3,488.6
1259,1.3,601.8
1260,2.8,599.8
1261,3.2,564.5
1262,3.0,468.3
1263,2.2,324.4
1264,0.9,160.0
1265,-0.7,30.8
1266,-1.6,0.0
1267,-2.1,0.0
1268,-2.5,0.0
1269,-2.9,0.0
1270,-3.1,0.0
1271,-3.2,0.0
1272,-3.3,0.0
1273,-3.5,0.0
1274,-3.4,0.0
1275,-3.8,0.0
1276,-3.9,0.0
1277,-4.3,0.0
1278,-4.6,0.0
1279,-5.0,7.6
1280,-4.2,178.8
1281,-3.2,345.0
1282,-1.9,502.6
1283,-0.5,593.9
1284,0.6,572.0
1285,0.9,397.1
1286,1.6,429.5
1287,1.4,297.2
1288,-0.1,129.3
1289,-1.2,43.4
1290,-1.8,1.7
1291,-2.2,0.0
1292,-2.6,0.0
1293,-2.8,0.0
1294,-2.9,0.0
1295,-2.8,0.0
1296,-2.8,0.0
1297,-2.9,0.0
1298,-2.8,0.0
1299,-2.9,0.0
1300,-3.1,0.0
1301,-4.0,0.0
1302,-4.5,0.0
1303,-4.2,6.7
1304,-3.9,42.1
1305,-3.3,182.3
1306,-2.1,431.1
1307,-1.1,538.3
1308,-0.1,562.5
1309,0.6,499.1
1310,1.1,406.5
